State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Death/1 mil population,Total Tests,Tests/1 mil population,Population
Alabama,572070,11483,,,116673,2342.0,2894621,590355.0,4903185
Alaska,71286,377,67099.0,3810.0,97446,515.0,2471288,3378176.0,731545
Arizona,918609,18171,875389.0,25049.0,126205,2496.0,5233837,719060.0,7278717
Arkansas,375971,6077,355168.0,14726.0,124584,2014.0,3990732,1322396.0,3017804
California,3919229,64267,2091965.0,1762997.0,99190,1627.0,73007339,1847715.0,39512223
Colorado,571087,7172,498722.0,65193.0,99169,1245.0,3256331,565459.0,5758736
Connecticut,352626,8286,340520.0,3820.0,98905,2324.0,9841414,2760343.0,3565287
Delaware,110862,1698,108002.0,1162.0,113849,1744.0,749837,770040.0,973764
Florida,2525342,38670,2277524.0,209148.0,117580,1800.0,32400961,1508584.0,21477737
Georgia,1163795,21628,1082128.0,60039.0,109612,2037.0,12342545,1162480.0,10617423
Hawaii,40822,529,,,28832,374.0,1825399,1289240.0,1415872
Idaho,198840,2188,116448.0,80204.0,111266,1224.0,1450697,811776.0,1787065
Illinois,1411821,25881,1363907.0,22033.0,111414,2042.0,26647342,2102882.0,12671821
Indiana,766351,13965,734343.0,18043.0,113833,2074.0,11148775,1656033.0,6732219
Iowa,407838,6170,367551.0,34117.0,129264,1956.0,5278976,1673172.0,3155070
Kansas,328755,5243,311498.0,12014.0,112846,1800.0,1486866,510369.0,2913314
Kentucky,476650,7319,,,106689,1638.0,7129448,1595786.0,4467673
Louisiana,520435,10914,,,111951,2348.0,8135800,1750088.0,4648794
Maine,69904,897,,,52004,667.0,2811184,2091325.0,1344212
Maryland,466205,9808,11087.0,445310.0,77114,1622.0,11194813,1851705.0,6045680
Massachusetts,716452,18053,697051.0,1348.0,103947,2619.0,24489414,3553051.0,6892503
Michigan,1006360,21146,871402.0,113812.0,100768,2117.0,15158627,1517858.0,9986857
Minnesota,609810,7746,599709.0,2355.0,108129,1373.0,10572606,1874698.0,5639632
Mississippi,336788,7508,315209.0,14071.0,113162,2523.0,3010386,1011504.0,2976149
Missouri,664242,10217,572833.0,81192.0,108228,1665.0,8180459,1332881.0,6137428
Montana,115406,1695,112891.0,820.0,107979,1586.0,1487703,1391966.0,1068778
Nebraska,226839,2284,,,117265,1181.0,3091474,1598150.0,1934408
Nevada,351443,5837,320312.0,25294.0,114099,1895.0,3682468,1195546.0,3080156
New Hampshire,100286,1385,98537.0,364.0,73755,1019.0,2502256,1840285.0,1359711
New Jersey,1034233,26579,990028.0,17626.0,116439,2992.0,14574369,1640853.0,8882190
New Mexico,209118,4400,196641.0,8077.0,99731,2098.0,3783512,1804397.0,2096829
New York,2200720,54203,2062086.0,84431.0,113127,2786.0,60758468,3123257.0,19453561
North Carolina,1037373,13580,1005765.0,18028.0,98910,1295.0,14276891,1361249.0,10488084
North Dakota,111265,1538,109463.0,264.0,146005,2018.0,452041,593181.0,762062
Ohio,1122647,20467,1090269.0,11911.0,96042,1751.0,13999017,1197613.0,11689100
Oklahoma,474845,7454,458261.0,9130.0,120002,1884.0,4201395,1061770.0,3956971
Oregon,215853,2838,201795.0,11220.0,51177,673.0,5652262,1340117.0,4217737
Pennsylvania,1224982,27928,1184050.0,13004.0,95687,2182.0,14967627,1169164.0,12801989
Rhode Island,153697,2739,9453.0,141505.0,145085,2586.0,4587663,4330595.0,1059361
South Carolina,610477,9882,582339.0,18256.0,118569,1919.0,8422315,1635809.0,5148714
South Dakota,124948,2040,122617.0,291.0,141239,2306.0,494597,559082.0,884659
Tennessee,884417,12690,859565.0,12162.0,129506,1858.0,8373249,1226100.0,6829174
Texas,3082985,53233,2934702.0,95050.0,106325,1836.0,33264711,1147222.0,28995881
Utah,428687,2434,414323.0,11930.0,133716,759.0,5271032,1644136.0,3205958
Vermont,24748,259,24184.0,305.0,39661,415.0,1767756,2832992.0,623989
Virginia,690183,11506,57816.0,620861.0,80860,1348.0,10557674,1236911.0,8535519
Washington,470748,6137,229906.0,234705.0,61819,806.0,8788802,1154160.0,7614893
West Virginia,166108,2936,161605.0,1567.0,92687,1638.0,3101280,1730483.0,1792147
Wisconsin,683040,8253,,,117312,1417.0,3635189,624342.0,5822434
Wyoming,64451,766,62969.0,716.0,111361,1324.0,812240,1403417.0,578759
